バックオフィスシステム,,,,,,,テーブル設定書,,,,,,,サブシステム名,,,,,テーブルID,,,,,,,テーブル名,,,,,,,Ver.,,,記入年月日,,,,,更新者,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,次世代領域,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,情報系商品最新マスタ,,,,,,,情報系【情報系マスタ】,,,,,DWH_PD,,,,,,,情報系商品最新マスタ,,,,,,,2.0,,,2019/5/20,,,,,CTC 川井,,,,,,アプリ名,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://9w3ch4cil9qm.cybozu.com/k/242/show#record=1&l.view=20&l.q&l.next=0&l.prev=0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
№,項目名（物理名）,,,,,,,,,項目名称（論理名）,,,,,,,,,型,,,長さ,,小数,,PK,HK,内容,,,,,,,,,,,,,,,,,,4325,商品コード,商品名称,商品規格,年月日,商品区分,許容期間
74,PLCOFORIG_NAM,,,,,,,,,原産国名称,,,,,,,,,NVARCHAR,,,30,,,,,,,,,,,,,,,,,,,,,,,,90,,,,,,
75,LIQUOR_GROUP_CD_L,,,,,,,,,酒類分類コード(大),,,,,,,,,CHAR,,,2,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,
76,LIQUOR_GROUP_CD_M,,,,,,,,,酒類分類コード(中),,,,,,,,,CHAR,,,2,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,
77,LIQUOR_GROUP_CD_S,,,,,,,,,酒類分類コード(小),,,,,,,,,CHAR,,,2,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,
78,LIQUOR_CLASS_CD,,,,,,,,,酒類種別コード,,,,,,,,,CHAR,,,2,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,
79,ABV_CD,,,,,,,,,酒類度数コード,,,,,,,,,CHAR,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
80,ABV,,,,,,,,,アルコール度数,,,,,,,,,NUMERIC,,,4,,1,,,,,,,,,,,,,,,,,,,,,,4,,,,,,
81,EXTRCT,,,,,,,,,エキス分,,,,,,,,,NUMERIC,,,4,,1,,,,,,,,,,,,,,,,,,,,,,4,,,,,,
82,MANUFACT_QUALITY_DSP_CD,,,,,,,,,製法品質表示コード,,,,,,,,,CHAR,,,2,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,
83,MANUFACT_QUALITY_DETAIL_CD,,,,,,,,,製法品質内訳コード,,,,,,,,,CHAR,,,2,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,
